Sweep, M, |M|
428, -1.000000, 1.000000
429, 0.250000, 0.250000
430, 0.125000, 0.125000
431, -0.125000, 0.125000
432, 0.375000, 0.375000
433, -0.250000, 0.250000
434, 0.250000, 0.250000
435, 0.125000, 0.125000
436, 0.375000, 0.375000
437, -0.375000, 0.375000
438, 0.000000, 0.000000
439, 0.750000, 0.750000
440, -1.000000, 1.000000
441, -0.750000, 0.750000
442, 0.125000, 0.125000
443, 0.000000, 0.000000
444, -0.250000, 0.250000
445, 0.875000, 0.875000
446, 0.375000, 0.375000
447, 0.375000, 0.375000
448, -0.125000, 0.125000
449, -0.250000, 0.250000
450, 0.000000, 0.000000
451, -0.125000, 0.125000
452, 0.375000, 0.375000
453, 0.125000, 0.125000
454, 0.250000, 0.250000
455, 0.625000, 0.625000
456, -0.125000, 0.125000
457, 0.625000, 0.625000
458, -0.125000, 0.125000
459, -0.250000, 0.250000
460, -0.250000, 0.250000
461, 0.125000, 0.125000
462, -0.125000, 0.125000
463, 0.375000, 0.375000
464, 0.375000, 0.375000
465, 0.000000, 0.000000
466, -0.125000, 0.125000
467, 0.125000, 0.125000
468, -0.375000, 0.375000
469, 0.000000, 0.000000
470, -0.625000, 0.625000
471, -0.250000, 0.250000
472, 0.125000, 0.125000
473, 0.375000, 0.375000
474, -0.500000, 0.500000
475, -0.375000, 0.375000
476, -0.125000, 0.125000
477, 0.250000, 0.250000
478, -0.250000, 0.250000
479, 0.375000, 0.375000
480, -0.375000, 0.375000
481, 0.250000, 0.250000
482, 0.000000, 0.000000
483, 0.125000, 0.125000
484, 0.500000, 0.500000
485, -0.500000, 0.500000
486, -0.750000, 0.750000
487, -1.000000, 1.000000
488, -0.250000, 0.250000
489, 0.125000, 0.125000
490, -0.250000, 0.250000
491, 0.375000, 0.375000
492, 0.125000, 0.125000
493, -0.250000, 0.250000
494, -0.125000, 0.125000
495, 0.000000, 0.000000
496, 0.000000, 0.000000
497, -0.125000, 0.125000
498, 0.500000, 0.500000
499, 0.375000, 0.375000
500, -0.750000, 0.750000
501, -0.125000, 0.125000
502, 0.250000, 0.250000
503, -0.250000, 0.250000
504, 0.125000, 0.125000
505, -0.500000, 0.500000
506, -0.500000, 0.500000
507, -0.375000, 0.375000
508, 0.250000, 0.250000
509, 0.250000, 0.250000
510, -0.625000, 0.625000
511, 0.125000, 0.125000
512, 0.500000, 0.500000
513, -0.250000, 0.250000
514, -0.250000, 0.250000
515, -0.250000, 0.250000
516, 0.125000, 0.125000
517, -0.625000, 0.625000
518, -0.375000, 0.375000
519, -0.125000, 0.125000
520, -0.375000, 0.375000
521, 0.125000, 0.125000
522, -0.250000, 0.250000
523, 0.125000, 0.125000
524, 0.750000, 0.750000
525, -0.125000, 0.125000
526, 0.125000, 0.125000
527, -0.375000, 0.375000
528, 0.125000, 0.125000
529, -0.375000, 0.375000
530, -0.250000, 0.250000
531, 0.500000, 0.500000
532, -0.250000, 0.250000
533, 0.625000, 0.625000
534, 0.000000, 0.000000
535, -0.750000, 0.750000
536, 0.000000, 0.000000
537, -0.250000, 0.250000
538, -0.125000, 0.125000
539, 0.375000, 0.375000
540, 0.375000, 0.375000
541, -0.250000, 0.250000
542, 0.625000, 0.625000
543, 0.000000, 0.000000
544, -0.500000, 0.500000
545, -0.125000, 0.125000
546, -0.125000, 0.125000
547, -1.000000, 1.000000
548, -0.625000, 0.625000
549, 0.000000, 0.000000
550, 0.250000, 0.250000
551, -0.250000, 0.250000
552, -0.250000, 0.250000
553, 0.375000, 0.375000
554, -0.875000, 0.875000
555, -0.125000, 0.125000
556, 0.125000, 0.125000
557, -0.375000, 0.375000
558, -0.625000, 0.625000
559, 0.625000, 0.625000
560, 0.375000, 0.375000
561, 0.125000, 0.125000
562, -0.625000, 0.625000
563, 0.000000, 0.000000
564, 0.250000, 0.250000
565, 0.500000, 0.500000
566, 0.500000, 0.500000
567, -0.500000, 0.500000
568, 0.500000, 0.500000
569, 0.125000, 0.125000
570, -0.125000, 0.125000
571, 0.250000, 0.250000
572, 0.125000, 0.125000
573, 0.125000, 0.125000
574, 0.250000, 0.250000
